ID,Name,Outline Level,Duration,Start,Finish
1,Zona 1: Cochera,1,32w,2026-04-24,2026-12-04
2,A01 Preliminares,2,1w,2026-04-24,2026-05-01
3,A02 Demoliciones,2,1w,2026-05-01,2026-05-08
4,A03 Zapatas aisladas,2,1w,2026-05-08,2026-05-15
5,A03 Zapatas aisladas,2,1w,2026-05-15,2026-05-22
6,A04 Zapatas corridas,2,1w,2026-05-22,2026-05-29
7,A04 Zapatas corridas,2,1w,2026-05-29,2026-06-05
8,A05 Albañilerías,2,1w,2026-06-05,2026-06-12
9,A05 Albañilerías,2,1w,2026-06-12,2026-06-19
10,A06 Estructura de Acero,2,1w,2026-06-19,2026-06-26
11,A06 Estructura de Acero,2,1w,2026-06-26,2026-07-03
12,A06 Estructura de Acero,2,1w,2026-07-03,2026-07-10
13,A06 Estructura de Acero,2,1w,2026-07-10,2026-07-17
14,A07 Losa aligerada,2,1w,2026-07-17,2026-07-24
15,A07 Losa aligerada,2,1w,2026-07-24,2026-07-31
16,A08 Durock en cubierta,2,1w,2026-07-31,2026-08-07
17,A08 Durock en cubierta,2,1w,2026-08-07,2026-08-14
18,A09 Instalación Eléctrica,2,1w,2026-08-14,2026-08-21
19,A09 Instalación Eléctrica,2,1w,2026-08-21,2026-08-28
20,A09 Accesorios Eléctricos,2,1w,2026-08-28,2026-09-04
21,A09 Tableros/Interrupt.,2,1w,2026-09-04,2026-09-11
22,A10 Inst. Hidráulicas,2,1w,2026-09-11,2026-09-18
23,A10 Inst. Hidráulicas,2,1w,2026-09-18,2026-09-25
24,A10 Inst. Sanitarias,2,1w,2026-09-25,2026-10-02
25,A10 Inst. Sanitarias,2,1w,2026-10-02,2026-10-09
26,A10 Inst. Pluviales,2,1w,2026-10-09,2026-10-16
27,A10 Inst. Pluviales,2,1w,2026-10-16,2026-10-23
28,A11 Recubrimi./Pintura,2,1w,2026-10-23,2026-10-30
29,A11 Recubrimi./Pintura,2,1w,2026-10-30,2026-11-06
30,A12 Herrería,2,1w,2026-11-06,2026-11-13
31,A12 Herrería,2,1w,2026-11-13,2026-11-20
32,A12 Herrería,2,1w,2026-11-20,2026-11-27
